year,genre,duration,country,avg_vote,votes,rlwide_gross_income,reviews_from_critics
1970,Drama,99,"Spain, Italy, France",7.5,9406,14586,52
2017,"Biography, Drama, Romance",103,"Czech Republic, UK",6,365,14699,9
1997,"Drama, Romance, Thriller",96,"UK, Spain, Germany, Ireland, Japan",5.8,332,14760,4
2015,Drama,93,"Turkey, Greece",6.4,472,14854,10
1992,"Comedy, Drama",108,"Czech Republic, Slovakia",6.4,106,14915,1
2017,Horror,80,Canada,4.1,426,15035,16
2007,Drama,100,USA,6.6,4775,15078,28
2017,"Action, Adventure",116,India,3.2,135,15092,2
2007,"Drama, Horror, Thriller",100,USA,4.6,1845,15213,27
2004,"Drama, Romance",74,USA,5.5,980,15247,12
2010,"Comedy, Drama",100,Italy,6.9,328,15365,6
2010,"Drama, Music, Romance",87,Argentina,6.1,102,15452,1
1989,"Drama, Romance, Western",91,"UK, USA",3.6,639,15510,6
1965,"Comedy, Drama",95,France,6.9,918,15532,17
2007,Drama,78,USA,6.4,1359,15610,22
2008,Drama,83,Ireland,5.9,197,15611,13
2001,"Comedy, Drama, Horror",84,Japan,6.7,14141,15678,78
2015,Drama,70,Spain,5.9,154,15803,9
2015,Drama,104,Germany,7.2,1261,15864,18
2013,Drama,102,"Turkey, Germany, Netherlands",5.8,445,15930,21
2016,"Horror, Mystery",120,India,4.1,1373,16077,7
1939,"Comedy, Drama",133,USA,7.8,11776,16161,69
1945,"Crime, Drama, Film-Noir",68,USA,7.4,13309,16172,106
2002,"Drama, Thriller",110,"UK, Denmark",5.8,313,16290,14
2018,"Drama, Music",99,UK,5.7,316,16323,12
2003,"Comedy, Romance",100,USA,4.9,662,16377,8
2005,Drama,111,Canada,7,1160,16510,3
2012,"Horror, Mystery, Thriller",85,India,2.5,480,16522,19
2001,Drama,105,India,7,277,16645,10
2017,Drama,124,India,5.8,173,16711,
2005,Comedy,95,Mexico,6.7,658,16791,6
2011,Drama,105,Turkey,6.2,202,16835,1
2019,"Drama, Romance",116,Romania,6.8,195,17005,9
2007,Drama,123,Estonia,7.2,1823,17073,12
2015,Drama,107,Taiwan,7.2,423,17096,8
2008,Drama,86,Canada,5.1,158,17234,5
2016,Comedy,96,Turkey,4.3,232,17280,
2014,"Drama, Romance",80,USA,6.6,860,17341,30
